id,adult,genre_ids,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
75656,False,"['Thriller', 'Crime']",en,Now You See Me,84.906,Now You See Me,7.343,15270,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97020,False,"['Science Fiction', 'Action', 'Crime']",en,RoboCop,63.655,RoboCop,5.874,5378,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,False,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",en,Armageddon,79.901,Armageddon,6.84,7738,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49521,False,"['Action', 'Adventure', 'Science Fiction']",en,Man of Steel,79.651,Man of Steel,6.623,14869,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206487,False,"['Science Fiction', 'Thriller']",en,Predestination,70.901,Predestination,7.4,6278,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9885,False,"['Horror', 'Thriller']",en,Wolf Creek,55.641,Wolf Creek,6.229,1109,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49444,False,"['Animation', 'Family', 'Comedy']",en,Kung Fu Panda 2,74.875,Kung Fu Panda 2,7.027,6970,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375588,False,"['Adventure', 'Action', 'Thriller']",en,Robin Hood,89.124,Robin Hood,5.906,2899,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173185,False,['Comedy'],fr,20 ans d'écart,57.865,It Boy,6.419,1394,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
306,False,"['Action', 'Comedy', 'Crime']",en,Beverly Hills Cop III,63.611,Beverly Hills Cop III,5.876,1814,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955531,False,"['Drama', 'Horror']",es,Hermana Muerte,66.176,Sister Death,6.014,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
