,genre_ids
1932,"['Horror', 'Fantasy', 'Adventure', 'Mystery']"
1933,"['Romance', 'Comedy']"
1934,"['Action', 'Fantasy', 'Horror', 'Comedy']"
1935,"['Horror', 'Thriller', 'Action', 'Adventure']"
1936,"['Action', 'Horror', 'Thriller']"
1937,"['Horror', 'Science Fiction', 'Thriller']"
1938,"['Science Fiction', 'Thriller', 'Drama']"
1939,"['Mystery', 'Thriller', 'Science Fiction']"
1940,"['Romance', 'Drama', 'History']"
1941,['Horror']
1942,['Drama']
1943,"['Comedy', 'Animation', 'Adventure', 'Family', 'Fantasy']"
1944,"['Thriller', 'Horror']"
1945,"['Comedy', 'Drama']"
1946,"['Drama', 'Romance', 'History']"
1947,"['Action', 'Adventure', 'Comedy', 'Family']"
1948,"['Thriller', 'Crime', 'Drama', 'Mystery']"
1949,['Comedy']
1950,"['Comedy', 'Drama', 'Romance']"
1951,"['Drama', 'Thriller', 'Action']"
1952,"['Crime', 'Thriller']"
1953,"['Action', 'Adventure', 'Thriller']"
1954,['Drama']
1955,"['Action', 'Comedy', 'Science Fiction']"
1956,"['Horror', 'Thriller']"
1957,"['Adventure', 'Action', 'Animation', 'Science Fiction']"
1958,"['Adventure', 'Action', 'Thriller', 'Mystery']"
1959,['Comedy']
1960,"['Family', 'Animation', 'Adventure', 'Comedy']"
1961,"['Action', 'Crime', 'Thriller']"
1962,"['Drama', 'Mystery', 'Western']"
1963,"['Thriller', 'Action', 'Drama']"
1964,"['Horror', 'Science Fiction', 'Thriller']"
1965,"['Crime', 'Drama', 'Mystery', 'Thriller']"
1966,"['War', 'Drama', 'Action', 'History']"
1967,"['Fantasy', 'Drama', 'Mystery']"
1968,"['Mystery', 'Comedy', 'Fantasy']"
1969,"['Comedy', 'Romance', 'Science Fiction']"
1970,"['Adventure', 'Comedy', 'Family']"
1971,"['Action', 'Thriller', 'Mystery', 'Crime', 'Adventure']"
1972,"['Action', 'Science Fiction']"
1973,"['Science Fiction', 'Action', 'Thriller']"
1974,"['Animation', 'Adventure', 'Comedy', 'Family']"
1975,"['Crime', 'Comedy']"
1976,"['Comedy', 'Drama']"
1977,"['Thriller', 'Science Fiction', 'Action', 'Crime']"
1978,"['Comedy', 'Drama', 'Romance']"
1979,['Drama']
1980,"['Drama', 'Fantasy', 'Thriller']"
1981,"['Crime', 'Comedy']"
1982,"['Drama', 'History']"
1983,"['Action', 'Crime', 'Thriller']"
1984,"['War', 'History', 'Romance', 'Drama', 'Action']"
1985,"['Adventure', 'Family', 'Mystery', 'Science Fiction']"
1986,"['Horror', 'Thriller']"
1987,"['Family', 'Animation', 'Comedy', 'Action']"
1988,"['Drama', 'Science Fiction', 'Mystery']"
1989,"['Science Fiction', 'Thriller', 'Drama']"
1990,"['Comedy', 'Horror']"
1991,"['Drama', 'Romance']"
1992,"['Science Fiction', 'Mystery', 'Thriller']"
1993,"['Action', 'Adventure', 'Fantasy']"
1994,"['Thriller', 'Adventure']"
1995,"['Thriller', 'Action']"
1996,"['Adventure', 'Action', 'Thriller']"
1997,"['Science Fiction', 'Thriller', 'Drama', 'Mystery', 'Action']"
1998,['Horror']
1999,"['Action', 'Adventure', 'Fantasy']"
2000,"['Animation', 'Action', 'Family', 'Comedy', 'Science Fiction']"
2001,"['Romance', 'Comedy']"
2002,"['Animation', 'Family', 'Fantasy']"
2003,"['Mystery', 'Thriller']"
2004,"['Comedy', 'Horror']"
2005,['Drama']
2006,['Horror']
2007,"['Action', 'Thriller']"
2008,"['Drama', 'War']"
2009,"['Drama', 'War', 'History', 'Adventure', 'Romance']"
2010,"['Comedy', 'Drama', 'Romance']"
2011,"['War', 'Action', 'Drama']"
2012,"['Adventure', 'Action', 'Science Fiction']"
2013,"['Animation', 'Fantasy', 'Comedy', 'Action', 'Adventure', 'Family']"
2014,"['Action', 'Drama', 'War']"
2015,"['Romance', 'Drama']"
2016,['Comedy']
2017,"['Action', 'Thriller']"
2018,"['Comedy', 'Crime']"
2019,['Drama']
2020,"['Crime', 'Comedy']"
2021,"['Action', 'Science Fiction', 'Adventure']"
2022,"['Animation', 'Family', 'Adventure']"
2023,"['Adventure', 'Fantasy']"
2024,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Thriller', 'Mystery']"
2025,"['Mystery', 'Thriller', 'Action']"
2026,"['Drama', 'Crime']"
2027,['Drama']
2028,"['Thriller', 'Western', 'Adventure']"
2029,"['Crime', 'Drama']"
2030,['Comedy']
2031,['Horror']
2032,['Action']
2033,"['Animation', 'Adventure', 'Comedy', 'Family']"
2034,"['Drama', 'War', 'Action']"
2035,"['Thriller', 'Science Fiction', 'Mystery']"
2036,"['Action', 'Comedy', 'Crime']"
2037,['Comedy']
2038,"['Comedy', 'Romance']"
2039,"['Action', 'Thriller']"
2040,"['Science Fiction', 'Thriller', 'Drama']"
2041,"['Comedy', 'Drama']"
2042,"['Comedy', 'Horror']"
2043,"['Drama', 'Romance']"
2044,"['Science Fiction', 'Mystery', 'Thriller']"
2045,"['Action', 'Adventure', 'Fantasy']"
2046,"['Thriller', 'Adventure']"
2047,"['Thriller', 'Action']"
2048,"['Adventure', 'Action', 'Thriller']"
2049,"['Drama', 'Crime']"
2050,"['Science Fiction', 'Thriller', 'Drama', 'Mystery', 'Action']"
2051,['Horror']
2052,"['Action', 'Adventure', 'Fantasy']"
2053,['Drama']
2054,"['Crime', 'Drama', 'Horror', 'Thriller']"
2055,"['Adventure', 'Horror', 'Thriller']"
2056,"['Adventure', 'Drama']"
2057,"['Comedy', 'Romance']"
2058,"['Thriller', 'Horror', 'Drama']"
2059,['Drama']
2060,"['Crime', 'Drama', 'Horror', 'Thriller']"
2061,"['Adventure', 'Horror', 'Thriller']"
2062,"['Adventure', 'Drama']"
2063,"['Comedy', 'Romance']"
2064,"['Thriller', 'Horror', 'Drama']"
2065,['Drama']
2066,"['Science Fiction', 'Action', 'Thriller', 'Horror']"
2067,"['Comedy', 'Drama']"
2068,"['Romance', 'Drama']"
2069,"['Comedy', 'Drama']"
2070,"['Drama', 'Thriller']"
2071,"['Drama', 'Mystery', 'Thriller']"
2072,"['Drama', 'Thriller', 'War']"
2073,['Drama']
2074,"['Action', 'Science Fiction']"
2075,"['Horror', 'Thriller', 'Adventure']"
2076,"['Comedy', 'Romance']"
2077,['Drama']
2078,"['Adventure', 'History', 'Action', 'Drama', 'Romance', 'Thriller']"
2079,['Romance']
2080,"['Comedy', 'Romance']"
2081,"['Comedy', 'Drama', 'Romance']"
2082,"['Horror', 'Mystery']"
2083,['Comedy']
2084,"['Horror', 'Thriller']"
2085,"['Animation', 'Family', 'Science Fiction', 'Fantasy', 'Adventure']"
2086,"['Crime', 'Thriller']"
2087,"['Comedy', 'Horror']"
2088,"['Drama', 'Crime']"
2089,"['Action', 'Thriller', 'Science Fiction']"
2090,"['Drama', 'Romance', 'Comedy']"
2091,['Comedy']
2092,"['Adventure', 'Action', 'Fantasy']"
2093,"['Family', 'Drama']"
2094,"['Science Fiction', 'Thriller']"
2095,['Horror']
2096,"['Comedy', 'Western', 'Drama']"
2097,"['Family', 'Animation', 'Action', 'Adventure', 'Comedy']"
2098,['Drama']
2099,"['Mystery', 'Comedy', 'Crime']"
2100,"['Horror', 'Mystery']"
2101,"['Thriller', 'Mystery']"
2102,"['Romance', 'Drama', 'Fantasy']"
2103,"['Animation', 'Comedy', 'Family', 'Horror']"
2104,"['Comedy', 'Crime', 'Romance', 'Thriller']"
2105,"['Western', 'Comedy']"
2106,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']"
2107,"['Comedy', 'Crime', 'Action']"
2108,['Romance']
2109,"['Action', 'Adventure']"
2110,"['Action', 'Thriller', 'Science Fiction']"
2111,"['Animation', 'Family', 'Fantasy', 'Comedy']"
2112,['Drama']
2113,"['Comedy', 'Drama', 'Family']"
2114,"['Comedy', 'Mystery']"
2115,"['Drama', 'Crime']"
2116,"['Action', 'Crime', 'Drama']"
2117,"['Thriller', 'Crime', 'Drama']"
2118,"['Action', 'Adventure', 'Science Fiction']"
2119,"['Comedy', 'Drama', 'Fantasy']"
2120,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
2121,"['Action', 'Adventure', 'Science Fiction', 'Thriller']"
2122,"['Adventure', 'Action', 'Science Fiction']"
2123,"['Horror', 'Comedy']"
2124,"['Action', 'History', 'Adventure', 'Drama']"
2125,['Drama']
2126,"['Comedy', 'Romance']"
2127,"['Animation', 'Comedy', 'Family']"
2128,['']
2129,"['Comedy', 'Family', 'Romance']"
2130,"['Thriller', 'Mystery', 'Drama']"
2131,"['Action', 'Family', 'Drama', 'Adventure']"
2132,"['Action', 'Thriller']"
2133,"['Drama', 'Romance', 'History']"
2134,"['Action', 'Thriller', 'Crime']"
2135,"['Family', 'Animation', 'Adventure']"
2136,"['Comedy', 'Action']"
2137,"['Horror', 'Thriller', 'Action', 'Mystery', 'Crime', 'Drama']"
2138,"['Western', 'Comedy', 'Drama']"
2139,"['Horror', 'Thriller']"
2140,"['Action', 'Comedy', 'Crime']"
2141,"['Comedy', 'Drama']"
2142,"['Comedy', 'Horror']"
2143,"['Action', 'Adventure', 'Thriller']"
2144,"['Drama', 'Romance']"
2145,"['Comedy', 'Drama', 'Romance']"
2146,"['Horror', 'Thriller', 'Comedy']"
2147,"['Family', 'Comedy', 'Drama', 'Romance']"
2148,"['Romance', 'Comedy', 'Fantasy']"
2149,"['Action', 'Science Fiction', 'Adventure', 'Mystery']"
2150,['Comedy']
2151,"['Fantasy', 'Adventure', 'Family']"
2152,"['Fantasy', 'Horror', 'Comedy']"
2153,"['Adventure', 'Horror', 'Action']"
2154,"['Comedy', 'Romance']"
2155,"['Action', 'Horror', 'Science Fiction']"
2156,"['Action', 'Thriller', 'Crime']"
2157,"['Comedy', 'Fantasy']"
2158,['Horror']
2159,"['Adventure', 'Family', 'Western']"
2160,"['Action', 'Adventure', 'Thriller', 'Science Fiction']"
2161,"['Fantasy', 'Drama', 'Comedy', 'Family']"
2162,"['Comedy', 'Romance']"
2163,"['Comedy', 'Drama', 'Romance']"
2164,"['Thriller', 'Crime']"
2165,"['Horror', 'Mystery']"
2166,['Comedy']
2167,"['Horror', 'Thriller']"
2168,"['Animation', 'Family', 'Science Fiction', 'Fantasy', 'Adventure']"
2169,['Romance']
2170,"['Crime', 'Thriller']"
2171,"['Comedy', 'Horror']"
2172,"['Drama', 'Crime']"
2173,"['Action', 'Thriller', 'Science Fiction']"
2174,"['Drama', 'Romance', 'Comedy']"
2175,['Comedy']
2176,"['Family', 'Drama']"
2177,"['Science Fiction', 'Thriller']"
2178,['Horror']
2179,"['Comedy', 'Western', 'Drama']"
2180,"['Family', 'Animation', 'Action', 'Adventure', 'Comedy']"
2181,['Drama']
2182,"['Mystery', 'Comedy', 'Crime']"
2183,"['Horror', 'Mystery']"
2184,"['Thriller', 'Mystery']"
2185,"['Romance', 'Drama', 'Fantasy']"
2186,"['Animation', 'Comedy', 'Family', 'Horror']"
2187,"['Comedy', 'Crime', 'Romance', 'Thriller']"
2188,"['Western', 'Comedy']"
2189,"['Adventure', 'Fantasy', 'Animation', 'Drama', 'Family']"
2190,"['Comedy', 'Crime', 'Action']"
2191,['Romance']
2192,['Drama']
2193,"['Fantasy', 'Action', 'Thriller']"
2194,"['Action', 'Adventure']"
2195,"['Action', 'Thriller', 'Science Fiction']"
2196,"['Animation', 'Family', 'Fantasy', 'Comedy']"
2197,['Drama']
2198,['Drama']
2199,"['Crime', 'Drama', 'Mystery', 'Thriller']"
2200,"['Comedy', 'Drama', 'Romance']"
2201,"['Drama', 'Mystery', 'Thriller']"
2202,"['Drama', 'Thriller']"
2203,"['Action', 'Thriller', 'War', 'Drama', 'Science Fiction']"
2204,"['Horror', 'Drama', 'Mystery']"
2205,"['Fantasy', 'Science Fiction', 'Action', 'Adventure']"
2206,"['Action', 'Thriller', 'Drama', 'Adventure']"
2207,"['Science Fiction', 'Action', 'Adventure']"
2208,"['Action', 'Drama', 'Mystery', 'Thriller']"
2209,"['Adventure', 'Science Fiction']"
2210,"['Horror', 'Science Fiction', 'Thriller']"
2211,"['Romance', 'Drama']"
2212,['Horror']
2213,['Documentary']
2214,"['Action', 'Western']"
2215,"['Drama', 'Music', 'Romance', 'Comedy']"
2216,['Horror']
2217,"['Romance', 'Fantasy', 'Drama', 'Comedy']"
2218,['Comedy']
2219,['Drama']
2220,"['Horror', 'Drama', 'Thriller']"
2221,"['Horror', 'Mystery']"
2222,"['Action', 'Thriller', 'TV Movie']"
2223,"['Comedy', 'Action', 'Romance', 'Crime']"
2224,"['Adventure', 'Animation', 'Fantasy']"
2225,"['Adventure', 'Drama']"
2226,"['Horror', 'Thriller', 'Comedy']"
2227,"['Crime', 'History']"
2228,"['Animation', 'Action', 'Horror']"
2229,['Drama']
2230,"['Action', 'Science Fiction', 'Thriller']"
2231,"['Horror', 'Science Fiction', 'Mystery']"
2232,"['Adventure', 'Comedy', 'Science Fiction']"
2233,['Drama']
2234,"['Action', 'Drama', 'Thriller', 'Crime']"
2235,"['Fantasy', 'Romance', 'Comedy']"
2236,"['Action', 'Adventure', 'Thriller']"
2237,"['Science Fiction', 'Action', 'Adventure']"
2238,['Western']
2239,"['Animation', 'Science Fiction', 'Action', 'Adventure']"
2240,"['Comedy', 'Drama']"
2241,"['Adventure', 'Action', 'Animation', 'Comedy', 'Fantasy']"
2242,['Thriller']
2243,"['Comedy', 'Horror', 'Science Fiction']"
2244,"['Thriller', 'Drama']"
2245,"['Drama', 'History']"
2246,"['Drama', 'Thriller', 'Crime']"
2247,"['Thriller', 'Horror']"
2248,"['Drama', 'Science Fiction']"
2249,"['Comedy', 'Family', 'Music']"
2250,"['Drama', 'Crime']"
2251,"['Comedy', 'Crime']"
2252,"['Drama', 'Mystery', 'Comedy']"
2253,['Drama']
2254,"['Horror', 'Thriller']"
2255,"['Animation', 'Drama', 'Family', 'Mystery']"
2256,"['Comedy', 'Drama', 'Romance']"
2257,"['Comedy', 'Fantasy', 'Adventure', 'Action']"
2258,"['Action', 'Drama', 'War', 'History']"
2259,"['Drama', 'Action', 'Adventure', 'History', 'War']"
2260,"['Action', 'Thriller', 'Science Fiction']"
2261,"['Horror', 'Mystery']"
2262,"['Comedy', 'Music', 'Family']"
2263,"['Comedy', 'Crime', 'Thriller', 'Horror']"
2264,"['Crime', 'Drama', 'Mystery']"
2265,['Drama']
2266,"['Comedy', 'Fantasy']"
2267,"['Action', 'Animation', 'Adventure', 'Comedy', 'Fantasy']"
2268,"['Action', 'Thriller', 'Science Fiction']"
2269,"['Comedy', 'Mystery', 'Horror']"
2270,"['Music', 'Drama', 'Romance']"
2271,"['Crime', 'Drama']"
2272,"['Animation', 'Drama', 'Romance', 'Fantasy']"
2273,['Drama']
2274,"['Comedy', 'Romance']"
2275,"['Action', 'Crime', 'Fantasy']"
2276,"['Adventure', 'Comedy', 'Romance']"
2277,['Comedy']
2278,"['Action', 'Thriller', 'Science Fiction', 'Adventure']"
2279,"['Thriller', 'Action', 'Crime']"
2280,"['Adventure', 'Drama', 'Action', 'Thriller']"
2281,"['Thriller', 'Crime', 'Drama']"
2282,"['Crime', 'Comedy']"
2283,"['Horror', 'Thriller']"
2284,['Drama']
2285,"['Horror', 'Mystery', 'Thriller']"
2286,"['Action', 'Comedy', 'Crime', 'Adventure']"
2287,['Comedy']
2288,"['Adventure', 'Action', 'Thriller']"
2289,['Action']
2290,"['Animation', 'Adventure', 'Comedy', 'Family']"
2291,"['Action', 'Comedy', 'Family']"
2292,"['Thriller', 'Science Fiction', 'Mystery']"
2293,['Horror']
2294,"['Action', 'Comedy', 'Crime']"
2295,['Comedy']
2296,"['Action', 'Thriller', 'Drama']"
2297,['Comedy']
2298,['Horror']
2299,"['Action', 'Thriller']"
2300,"['Action', 'Drama']"
2301,"['Comedy', 'Drama']"
2302,"['Action', 'Fantasy', 'Thriller']"
2303,"['Fantasy', 'Thriller', 'Action', 'Crime']"
2304,['Drama']
2305,"['Family', 'Animation', 'Comedy', 'Science Fiction', 'Adventure', 'Fantasy']"
2306,"['Animation', 'Family']"
2307,"['Drama', 'Crime', 'Thriller']"
2308,"['Comedy', 'Crime']"
2309,"['Mystery', 'Comedy', 'Crime']"
2310,['Drama']
2311,['Comedy']
2312,['Drama']
2313,"['Action', 'Science Fiction', 'Horror']"
2314,"['Adventure', 'Animation', 'Comedy', 'Family']"
2315,"['Action', 'Thriller']"
2316,['Horror']
2317,"['Drama', 'Romance']"
2318,"['Action', 'Comedy', 'War']"
2319,"['Thriller', 'Science Fiction', 'Mystery']"
2320,"['Thriller', 'Drama', 'Crime']"
2321,['Drama']
2322,"['Romance', 'Comedy', 'Drama']"
2323,"['Comedy', 'Drama']"
2324,"['Comedy', 'Drama']"
2325,['Documentary']
2326,"['Adventure', 'Fantasy']"
2327,"['Animation', 'Action', 'Adventure', 'Comedy']"
2328,"['Western', 'Comedy']"
2329,"['Comedy', 'Romance']"
2330,"['Animation', 'Action', 'Fantasy']"
2331,"['Crime', 'Mystery', 'Thriller']"
2332,"['Comedy', 'Romance', 'Drama']"
2333,"['Animation', 'TV Movie', 'Fantasy', 'Action']"
2334,"['Action', 'Adventure', 'Thriller']"
2335,"['Romance', 'Comedy']"
2336,"['Science Fiction', 'Mystery', 'Thriller']"
2337,"['Adventure', 'Action', 'Science Fiction']"
2338,"['Action', 'Adventure', 'Crime', 'Mystery']"
2339,['']
2340,"['Action', 'Thriller', 'Crime']"
2341,"['History', 'Thriller']"
2342,"['Action', 'Adventure', 'Thriller']"
2343,"['Horror', 'Thriller']"
2344,"['Thriller', 'Animation', 'Action', 'Comedy', 'Horror', 'Mystery']"
2345,"['Romance', 'Drama', 'Comedy']"
2346,"['Mystery', 'Thriller', 'Action']"
2347,"['Animation', 'Family', 'Adventure', 'Fantasy']"
2348,"['Family', 'Fantasy', 'Comedy', 'Adventure', 'Animation']"
2349,"['Family', 'Adventure', 'Drama']"
2350,"['Western', 'Action', 'Adventure']"
2351,"['Horror', 'Adventure', 'Action', 'Thriller']"
2352,"['Horror', 'Drama', 'Thriller', 'Fantasy']"
2353,"['Crime', 'Drama', 'Mystery', 'Thriller']"
2354,"['Drama', 'Horror', 'Mystery']"
2355,"['Comedy', 'Horror']"
2356,"['Action', 'Crime', 'Thriller']"
2357,['Comedy']
2358,"['Science Fiction', 'Adventure', 'Action']"
2359,"['Fantasy', 'Action', 'Thriller']"
2360,"['Animation', 'Romance', 'Family', 'Fantasy']"
2361,"['Mystery', 'Romance', 'Thriller']"
2362,"['Action', 'Comedy', 'Crime']"
2363,['Comedy']
2364,"['Adventure', 'Action', 'Science Fiction']"
2365,"['Drama', 'Comedy', 'History']"
2366,['Comedy']
2367,"['Drama', 'Thriller']"
2368,"['Comedy', 'Drama', 'Music', 'Romance']"
2369,"['Action', 'Crime', 'Mystery', 'Thriller']"
2370,"['Horror', 'Thriller', 'Drama']"
2371,"['Drama', 'Thriller', 'Romance']"
2372,['Drama']
2373,"['Comedy', 'Romance']"
2374,"['Comedy', 'History']"
2375,"['Comedy', 'Drama']"
2376,"['Action', 'Drama', 'Science Fiction', 'Thriller']"
2377,"['Action', 'Comedy']"
2378,"['Crime', 'Drama', 'Thriller']"
2379,"['Drama', 'History']"
2380,"['Horror', 'Drama']"
2381,"['Drama', 'Thriller']"
2382,"['Thriller', 'TV Movie']"
2383,"['Comedy', 'Romance']"
2384,"['Action', 'Adventure', 'History', 'Drama']"
2385,['Horror']
2386,"['Romance', 'Drama']"
2387,"['Crime', 'Drama']"
2388,"['Animation', 'Science Fiction']"
2389,"['Action', 'Crime']"
2390,"['Action', 'Thriller', 'Crime']"
2391,['Drama']
2392,"['Comedy', 'Romance']"
2393,"['Drama', 'Animation', 'Family', 'Comedy']"
2394,"['Adventure', 'Animation', 'Action']"
2395,"['Comedy', 'Crime']"
2396,"['Animation', 'Romance', 'Action', 'Fantasy']"
2397,"['Thriller', 'Drama', 'Mystery']"
2398,['Thriller']
2399,"['Thriller', 'Crime', 'Drama']"
2400,['Comedy']
2401,"['Comedy', 'Crime']"
2402,"['Comedy', 'Music']"
2403,"['Action', 'Adventure', 'Fantasy']"
2404,"['Drama', 'Action', 'Fantasy']"
2405,"['Comedy', 'Science Fiction', 'Music']"
2406,"['Drama', 'Comedy']"
2407,"['Action', 'Science Fiction', 'Thriller', 'Western']"
2408,['Romance']
2409,"['Horror', 'Thriller']"
2410,"['Drama', 'Comedy']"
2411,"['Horror', 'Mystery']"
2412,"['Action', 'Crime', 'Thriller']"
2413,"['Crime', 'Thriller', 'Action']"
2414,"['Horror', 'Science Fiction']"
2415,['Drama']
2416,"['Fantasy', 'Action', 'Science Fiction']"
2417,"['Action', 'Drama', 'History']"
2418,"['Action', 'Thriller', 'Crime', 'Adventure']"
2419,"['Comedy', 'Crime', 'Drama']"
2420,"['Action', 'Thriller', 'Crime', 'Adventure']"
2421,"['Comedy', 'Crime', 'Drama']"
2422,['Horror']
2423,"['Comedy', 'Family', 'Drama']"
2424,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']"
2425,"['Drama', 'Horror', 'Mystery']"
2426,['Horror']
2427,['Comedy']
2428,"['Adventure', 'Action', 'Science Fiction']"
2429,"['Comedy', 'Action', 'Adventure', 'War']"
2430,"['Comedy', 'Family']"
2431,"['Animation', 'Action', 'Science Fiction', 'Adventure']"
2432,"['Horror', 'Mystery', 'Thriller']"
2433,"['Comedy', 'Romance']"
2434,"['Science Fiction', 'Adventure', 'Comedy', 'Fantasy']"
2435,"['Horror', 'Thriller']"
2436,"['Action', 'Drama', 'History']"
2437,"['Adventure', 'Fantasy', 'Action', 'Horror']"
2438,"['Thriller', 'Mystery', 'Drama']"
2439,"['Action', 'Thriller', 'Horror']"
2440,"['Comedy', 'Crime']"
2441,"['Drama', 'Crime', 'History']"
2442,"['Action', 'Comedy', 'Family']"
2443,['Horror']
2444,"['Action', 'Crime', 'Thriller']"
2445,['Horror']
2446,"['Crime', 'Drama', 'Action', 'Thriller']"
2447,"['Action', 'Thriller', 'Drama']"
2448,['Comedy']
2449,['Horror']
2450,"['War', 'Action', 'Drama', 'History']"
2451,"['Adventure', 'Fantasy', 'Action', 'Comedy', 'Family']"
2452,"['Drama', 'Science Fiction', 'Adventure']"
2453,['Comedy']
2454,['Drama']
2455,"['History', 'Action', 'Drama']"
2456,"['Adventure', 'Western']"
2457,['Drama']
2458,"['Thriller', 'Drama']"
2459,"['Animation', 'Family', 'Science Fiction', 'Fantasy', 'Adventure']"
2460,"['Animation', 'Comedy', 'Family', 'Fantasy']"
2461,"['Horror', 'Action', 'Science Fiction']"
2462,"['Mystery', 'Thriller', 'Crime']"
2463,"['Thriller', 'Action']"
2464,"['Horror', 'Mystery', 'Drama']"
2465,"['Family', 'Comedy']"
2466,"['Action', 'Thriller', 'Drama', 'Crime']"
2467,"['Animation', 'Family', 'Comedy']"
2468,"['Drama', 'Horror', 'Mystery', 'Thriller']"
2469,"['Action', 'Comedy', 'Science Fiction']"
2470,"['Animation', 'Drama', 'Music']"
2471,"['Science Fiction', 'Thriller']"
2472,"['Horror', 'Thriller', 'Crime']"
2473,"['Thriller', 'Horror', 'Mystery']"
2474,['Drama']
2475,"['Action', 'Adventure', 'Science Fiction']"
2476,"['Horror', 'Thriller']"
2477,"['Action', 'Adventure', 'Comedy']"
2478,['Comedy']
2479,"['Crime', 'Action', 'Thriller']"
2480,['Horror']
2481,"['Drama', 'Thriller']"
2482,"['Horror', 'Mystery']"
2483,"['Action', 'Adventure', 'Drama', 'Thriller']"
2484,"['Animation', 'Family', 'Comedy']"
2485,"['Romance', 'Drama', 'Mystery']"
2486,"['Mystery', 'Romance', 'Thriller']"
2487,"['Comedy', 'Horror']"
2488,"['Thriller', 'Horror']"
2489,"['Comedy', 'Drama', 'Romance']"
2490,"['Comedy', 'Fantasy']"
2491,"['Fantasy', 'Drama', 'Horror']"
2492,"['Animation', 'Comedy', 'Family']"
2493,"['Action', 'Animation', 'Science Fiction']"
2494,"['History', 'Thriller']"
2495,"['Action', 'Comedy', 'Thriller', 'Crime']"
2496,"['Adventure', 'Drama', 'History']"
2497,"['Adventure', 'Drama', 'Action', 'Thriller']"
2498,"['Action', 'Drama', 'Thriller']"
2499,"['War', 'History', 'Adventure']"
2500,"['Adventure', 'Family', 'Fantasy', 'Comedy', 'Romance']"
2501,"['Adventure', 'Drama', 'Family']"
2502,"['Thriller', 'Crime']"
2503,['Comedy']
2504,"['Horror', 'Mystery']"
2505,['Horror']
2506,['Romance']
2507,"['Romance', 'Drama', 'Fantasy']"
2508,"['Drama', 'History']"
2509,"['Animation', 'Adventure', 'Fantasy', 'Action', 'Family']"
2510,"['Drama', 'Romance']"
2511,"['Adventure', 'History', 'Action']"
2512,"['Horror', 'Thriller']"
2513,"['Adventure', 'Horror']"
2514,"['Romance', 'Drama']"
2515,"['Adventure', 'Action', 'Western']"
2516,"['Drama', 'Romance', 'History']"
2517,"['Western', 'Action', 'Adventure']"
2518,"['Comedy', 'Adventure']"
2519,"['Comedy', 'Horror']"
2520,['Thriller']
2521,"['Adventure', 'Drama', 'Romance', 'Action']"
2522,['Drama']
2523,"['War', 'Action', 'Drama', 'History']"
2524,"['Fantasy', 'Action', 'Thriller']"
2525,"['Crime', 'Action', 'Drama']"
2526,['Drama']
2527,"['Action', 'Drama', 'Mystery', 'Thriller']"
2528,"['Horror', 'Thriller']"
2529,"['Action', 'Fantasy']"
2530,['Drama']
2531,"['Drama', 'Romance']"
2532,"['Comedy', 'Drama']"
2533,"['Action', 'Comedy']"
2534,['Drama']
2535,"['Crime', 'Drama', 'Mystery', 'Thriller']"
2536,"['Fantasy', 'Action', 'Mystery']"
2537,"['Thriller', 'Mystery', 'Drama']"
2538,['Horror']
2539,"['Action', 'Thriller', 'Crime']"
2540,['Comedy']
2541,"['Comedy', 'Romance']"
2542,"['Comedy', 'Family']"
2543,"['Animation', 'Action', 'Science Fiction', 'Adventure']"
2544,"['Horror', 'Mystery', 'Thriller']"
2545,"['Comedy', 'Romance']"
2546,"['Science Fiction', 'Adventure', 'Comedy', 'Fantasy']"
2547,"['Horror', 'Thriller']"
2548,"['Action', 'Drama', 'History']"
2549,"['Adventure', 'Fantasy', 'Action', 'Horror']"
2550,"['Thriller', 'Mystery', 'Drama']"
2551,"['Action', 'Thriller', 'Horror']"
2552,"['Action', 'Science Fiction', 'Thriller']"
2553,"['Horror', 'Thriller', 'Adventure']"
2554,"['Adventure', 'Fantasy', 'Animation', 'Action', 'Family', 'Romance']"
2555,"['Comedy', 'Music', 'Family']"
2556,"['Comedy', 'Drama']"
2557,"['Fantasy', 'Animation', 'Family']"
2558,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']"
2559,"['Fantasy', 'Action', 'Adventure', 'Drama']"
2560,"['Animation', 'Family', 'Fantasy']"
2561,"['Adventure', 'Horror']"
2562,"['Comedy', 'Music']"
2563,"['Fantasy', 'Action', 'Adventure', 'Family']"
2564,"['Adventure', 'Action', 'Thriller']"
2565,"['Romance', 'Drama']"
2566,"['Animation', 'Action', 'Science Fiction', 'Adventure']"
2567,"['Drama', 'Romance']"
2568,"['Fantasy', 'Action', 'Adventure']"
2569,"['Animation', 'Drama', 'Family', 'Mystery']"
2570,"['Comedy', 'Family']"
2571,"['Thriller', 'Drama']"
2572,"['Animation', 'Fantasy', 'Family']"
2573,"['Action', 'Thriller']"
2574,['Comedy']
2575,"['Animation', 'Action', 'Adventure', 'Comedy', 'Fantasy']"
2576,"['Animation', 'Horror', 'Action']"
2577,"['Crime', 'Drama', 'Thriller']"
2578,"['Fantasy', 'Horror', 'Comedy']"
2579,"['Comedy', 'Drama', 'Music', 'Romance']"
