,genre_ids
141,"['Action', 'Comedy', 'Crime']"
142,"['Animation', 'Adventure', 'Fantasy', 'Comedy', 'Family']"
143,"['Comedy', 'Adventure']"
144,"['Animation', 'Comedy', 'Family', 'Adventure']"
145,"['Action', 'History', 'Drama', 'War']"
146,"['History', 'Drama', 'Thriller', 'War']"
147,"['Science Fiction', 'Adventure', 'Action']"
148,"['Adventure', 'Fantasy']"
149,"['Romance', 'Drama']"
150,"['Romance', 'Drama']"
151,"['Crime', 'Drama', 'Thriller']"
152,"['Action', 'Drama', 'Science Fiction']"
153,['Drama']
154,"['Horror', 'Comedy', 'Drama']"
155,"['Animation', 'Action']"
156,"['Drama', 'Thriller']"
157,"['Romance', 'Drama']"
158,"['Science Fiction', 'Drama']"
159,"['Drama', 'Romance']"
160,"['Drama', 'Action', 'Crime', 'Horror']"
161,"['Animation', 'Comedy', 'Fantasy', 'Adventure', 'Family']"
162,['Action']
163,['Horror']
164,"['Action', 'Adventure', 'Fantasy']"
165,"['Science Fiction', 'Horror']"
166,"['Animation', 'Family']"
167,['Romance']
168,"['Animation', 'Comedy', 'Family', 'Adventure']"
169,"['Action', 'Drama', 'Science Fiction']"
170,['Action']
171,"['Comedy', 'Thriller', 'Drama']"
172,"['Crime', 'Comedy', 'Romance']"
173,"['Adventure', 'Fantasy', 'Action']"
174,"['Drama', 'War', 'History']"
175,"['Science Fiction', 'Thriller', 'Horror']"
176,"['Drama', 'Romance']"
177,"['Science Fiction', 'Action']"
178,"['Family', 'Animation', 'Music', 'Adventure']"
179,"['Fantasy', 'Adventure']"
180,"['Adventure', 'Fantasy']"
181,"['Science Fiction', 'Adventure', 'Action']"
182,"['Horror', 'Thriller']"
183,"['Adventure', 'Fantasy', 'Action']"
184,"['Action', 'Science Fiction', 'Horror']"
185,"['Action', 'Drama']"
186,"['Drama', 'Romance', 'Thriller']"
187,"['Adventure', 'Family', 'Fantasy']"
188,"['Comedy', 'Romance']"
189,"['Drama', 'Action', 'Crime', 'Thriller']"
190,"['Drama', 'Comedy']"
191,"['Animation', 'Family', 'Fantasy']"
192,"['Adventure', 'Action', 'Drama']"
193,"['Action', 'Adventure', 'Family', 'Comedy']"
194,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']"
195,"['Action', 'Fantasy', 'War']"
196,"['Horror', 'Thriller']"
197,['Drama']
198,"['Fantasy', 'Comedy', 'Adventure', 'Science Fiction']"
199,"['Action', 'Comedy', 'War', 'Drama']"
