,adult,genre_ids,id,original_language,original_title,popularity,title,vote_average,vote_count,Animation,Family,Adventure,Comedy,Action,Crime,Thriller,Science Fiction,Drama,Fantasy,Horror,Romance,War,Music,Western,TV Movie,Mystery,History,Documentary
8028,False,"['Animation', 'Science Fiction', 'Family']",15403,en,Ben 10: Secret of the Omnitrix,24.841,Ben 10: Secret of the Omnitrix,7.356,222,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8029,False,['Drama'],797,sv,Persona,31.84,Persona,8.196,2075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8030,False,"['Horror', 'Thriller']",48669,en,Terror Trap,25.931,Terror Trap,4.9,53,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8031,False,"['Drama', 'Action', 'Thriller']",4105,en,Black Rain,33.838,Black Rain,6.59,1044,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8032,False,"['Drama', 'Fantasy', 'Animation']",610892,ja,ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -,34.098,Violet Evergarden: Eternity and the Auto Memory Doll,8.205,356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8033,False,"['Action', 'Thriller', 'Mystery']",809314,en,Trigger Point,27.853,Trigger Point,6.133,173,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8034,False,"['Action', 'Crime', 'Drama']",28110,en,Dillinger,24.337,Dillinger,6.564,101,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8035,False,"['Action', 'Crime', 'Drama', 'Thriller']",507,en,Killing Zoe,20.087,Killing Zoe,6.234,322,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8036,False,"['Drama', 'History', 'Mystery', 'Thriller']",891,en,All the President's Men,30.837,All the President's Men,7.673,1752,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8037,False,"['Comedy', 'Crime', 'Thriller']",2084,en,Birthday Girl,28.338,Birthday Girl,5.9,386,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8038,False,"['Crime', 'Thriller']",996,en,Double Indemnity,25.838,Double Indemnity,8.125,1742,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
